Player,Position,Points,Team
Josh Allen,QB,376.7,BUF
Lamar Jackson,QB,375.6,BAL
Jalen Hurts,QB,358.7,PHI
Jayden Daniels,QB,355.8,WAS
Joe Burrow,QB,341.6,CIN
Patrick Mahomes II,QB,328.8,KC
Baker Mayfield,QB,321.6,TB
Kyler Murray,QB,319.1,ARI
Brock Purdy,QB,312.1,SF
Bo Nix,QB,308.8,DEN
Justin Fields,QB,301.1,NYJ
J.J. McCarthy,QB,291.6,MIN
Dak Prescott,QB,291.5,DAL
Justin Herbert,QB,291.5,LAC
Jared Goff,QB,290.8,DET
Caleb Williams,QB,287.5,CHI
C.J. Stroud,QB,279.8,HOU
Jordan Love,QB,278.4,GB
Trevor Lawrence,QB,274.7,JAC
Drake Maye,QB,274.0,NE
Matthew Stafford,QB,266.6,LAR
Michael Penix Jr.,QB,263.4,ATL
Tua Tagovailoa,QB,262.9,MIA
Bryce Young,QB,262.5,CAR
Geno Smith,QB,261.8,LV
Sam Darnold,QB,257.0,SEA
Cameron Ward,QB,255.0,TEN
Aaron Rodgers,QB,237.0,PIT
Anthony Richardson Sr.,QB,203.1,IND
Russell Wilson,QB,194.1,NYG
Tyler Shough,QB,183.3,NO
Daniel Jones,QB,115.3,IND
Joe Flacco,QB,112.4,CLE
Spencer Rattler,QB,77.1,NO
Kenny Pickett,QB,58.1,CLE
Jaxson Dart,QB,56.6,NYG
Dillon Gabriel,QB,47.6,CLE
Shedeur Sanders,QB,40.8,CLE
Jalen Milroe,QB,23.0,SEA
Mason Rudolph,QB,18.8,PIT
Jameis Winston,QB,16.3,NYG
Malik Willis,QB,16.2,GB
Marcus Mariota,QB,13.1,WAS
Jimmy Garoppolo,QB,12.5,LAR
Mac Jones,QB,12.2,SF
Joshua Dobbs,QB,12.1,NE
Tyrod Taylor,QB,11.9,NYJ
Zach Wilson,QB,11.8,MIA
Jake Browning,QB,11.2,CIN
Aidan O'Connell,QB,11.1,LV
Sam Howell,QB,10.5,MIN
Jacoby Brissett,QB,10.5,ARI
Gardner Minshew II,QB,10.2,KC
Joe Milton III,QB,9.7,DAL
Hendon Hooker,QB,9.2,DET
Mitchell Trubisky,QB,8.9,BUF
Nick Mullens,QB,8.8,JAC
Jarrett Stidham,QB,8.8,DEN
Cooper Rush,QB,8.7,BAL
Davis Mills,QB,8.6,HOU
Drew Lock,QB,8.4,SEA
Tanner McKee,QB,8.4,PHI
Andy Dalton,QB,8.2,CAR
Tyson Bagent,QB,8.2,CHI
Brandon Allen,QB,7.8,TEN
Quinn Ewers,QB,7.4,MIA
Kirk Cousins,QB,7.3,ATL
Kyle Trask,QB,7.3,TB
Trey Lance,QB,7.0,LAC
Deshaun Watson,QB,6.7,CLE
Case Keenum,QB,6.3,CHI
Jake Haener,QB,5.4,NO
Josh Johnson,QB,5.0,WAS
Cam Miller,QB,4.8,LV
Graham Mertz,QB,4.8,HOU
Kyle McCord,QB,4.8,PHI
Will Howard,QB,4.7,PIT
Riley Leonard,QB,4.1,IND
Clayton Tune,QB,2.9,ARI
Taylor Heinicke,QB,2.6,LAC
Tyler Huntley,QB,2.2,CLE
Kyle Allen,QB,0.0,DET
Mike White,QB,0.0,BUF
Brett Rypien,QB,0.0,MIN
Easton Stick,QB,0.0,ATL
Logan Woodside,QB,0.0,PIT
Teddy Bridgewater,QB,0.0,TB
John Wolford,QB,0.0,JAC
Sam Ehlinger,QB,0.0,DEN
Desmond Ridder,QB,0.0,CIN
Bailey Zappe,QB,0.0,KC
Skylar Thompson,QB,0.0,PIT
Chris Oladokun,QB,0.0,KC
Shane Buechele,QB,0.0,BUF
Stetson Bennett IV,QB,0.0,LAR
Sean Clifford,QB,0.0,GB
Dorian Thompson-Robinson,QB,0.0,PHI
Tommy DeVito,QB,0.0,NYG
Devin Leary,QB,0.0,BAL
Kurtis Rourke,QB,0.0,SF
Trevor Siemian,QB,0.0,TEN
Saquon Barkley,RB,273.1,PHI
Bijan Robinson,RB,263.2,ATL
Jahmyr Gibbs,RB,258.9,DET
